Date,AMZN,DPZ,BTC,NFLX,Price Movement ,,,,,,,,,
05/01/2013,248.229996,51.190983,106.25,30.415714,down,,,,,,,,,
05/02/2013,252.550003,51.98732,98.099998,30.641428,down,,,,,,,,,
05/03/2013,258.049988,52.446388,112.900002,30.492857,down,,,,,,,,,
05/06/2013,255.720001,53.205257,109.599998,30.098572,down,,,,,,,,,
05/07/2013,257.730011,54.151505,113.199997,29.464285,down,,,,,,,,,
05/08/2013,258.679993,54.385727,112.800003,29.801428,down,,,,,,,,,
05/09/2013,260.160004,54.02034,117.699997,30.915714,down,,,,,,,,,
05/10/2013,263.630005,54.35762,115.639999,31.098572,down,,,,,,,,,
5/13/2013,264.51001,54.573097,111.400002,32.76857,down,,,,,,,,,
5/14/2013,268.329987,55.275757,114.220001,33.424286,down,,,,,,,,,
5/15/2013,266.559998,54.001606,118.209999,34.771427,down,,,,,,,,,
5/16/2013,264.119995,53.364532,123.5,33.861427,down,,,,,,,,,
5/17/2013,269.899994,53.93602,123.209999,34.142857,down,,,,,,,,,
5/20/2013,267.630005,53.139683,122.889999,34.221428,down,,,,,,,,,
5/21/2013,268.859985,53.355167,123.800003,33.869999,down,,,,,,,,,
5/22/2013,262.959991,53.036613,126.300003,32.651428,down,,,,,,,,,
5/23/2013,261.799988,55.472504,133.100006,32.311428,down,,,,,,,,,
5/24/2013,261.73999,55.013439,131.990005,32.677143,down,,,,,,,,,
5/28/2013,267.290009,55.894104,132.25,30.598572,down,,,,,,,,,
5/29/2013,265.529999,55.538086,128.800003,30.762857,down,,,,,,,,,
5/30/2013,266.829987,56.015888,128.820007,31.808571,down,,,,,,,,,
5/31/2013,269.200012,55.528717,129.300003,32.32143,down,,,,,,,,,
06/03/2013,266.880005,55.95031,121.400002,31.709999,down,,,,,,,,,
06/04/2013,265.700012,56.381283,121.900002,32.187141,down,,,,,,,,,
06/05/2013,267.170013,54.666786,118.970001,31.922857,down,,,,,,,,,
06/06/2013,267.829987,55.697353,111,31.105715,down,,,,,,,,,
06/07/2013,276.869995,56.70919,107.889999,31.459999,down,,,,,,,,,
06/10/2013,281.070007,56.887188,109,31.561428,down,,,,,,,,,
06/11/2013,274.779999,56.025265,108.779999,30.637142,down,,,,,,,,,
06/12/2013,271.670013,55.865456,103.949997,29.662857,down,,,,,,,,,
6/13/2013,275.790009,56.420074,100,30.77,down,,,,,,,,,
6/14/2013,273.98999,56.015854,99.800003,30.57,down,,,,,,,,,
6/17/2013,278.059998,55.97826,107.349998,32.747143,down,,,,,,,,,
6/18/2013,281.76001,56.814877,108.25,32.689999,down,,,,,,,,,
6/19/2013,278.160004,56.185055,111.290001,33.187141,down,,,,,,,,,
6/20/2013,273.440002,54.079426,109.5,31.931429,down,,,,,,,,,s
6/21/2013,273.359985,54.051205,108.199997,30.985714,down,,,,,,,,,
6/24/2013,270.609985,53.590603,103.330002,30.799999,down,,,,,,,,,
6/25/2013,272.089996,54.117012,104,30.414286,down,,,,,,,,,
6/26/2013,277.570007,54.229813,101.739998,30.299999,down,,,,,,,,,
6/27/2013,277.549988,55.273243,94.660004,30.709999,down,,,,,,,,,
